name,cuisine,description,localAddress,phone,rating
Thela,        ,,"241, Cmh Road, 2nd Stage, Double Road, Next to Tata Indicom Atm, Indiranagar, 560038",+91 99011 89089,4.0
N Vi Snacks & Sweets,        ,,"343, 9th Main, Sector 7, Near Karnataka Bank ATM, HSR Layout, 560029",+91 88849 81000,4.0
Late Night,Chinese        ,,"195, 14th Main Road, Near Aesthetic Dental Clinic, Kumaraswamy Layout",+91 88849 32323,3.0
Sri Vigneshwara Fast Food,        ,,"11/2, S.M Road, Balepet Cross, Opposite Rajkumar Statue, Chikpete, 560057",+91 98802 29592,4.0
Khao Piyo Khisko,        ,,"24, Victorian Meadows Road, Behind Yashomathi Hospital, Munekolala, Marathahalli, 560037",+91 80 4965 3328,3.0
Sri Annapoorneshwari Veg Restaurant,        ,,"58/6 B, Kamakshipalya, Magadi Road, 560079",+91 80 2358 1122,3.0
Ammi's Biryani,        ,,"65/A-1, 1st Floor, Kaikondrahalli, Opposite M.G.R Plaza, Sarjapur Road",+91 80 3945 7777,2.5
Himanchal Fresh Fruit & Juice,        ,,"157, Konappana Agrahara, Hosur Main Road, Next to Venkateshwara Theatre, Electronics City",+91 85539 53407,4.0
Greens Garden,Chinese        ,,"Near Rajla Apartment No 67 13th Main, 560076",+91 96638 09382,3.0
Mallige Idly Food Factory,        ,,"1st Floor No 1204 Vijayanagar, Near raheja apartment/ near shell petrol bank, 560040",23504466,2.5
Sid's Take Away,        ,,"8, RIFCO, Santosh Apartment, Wind Tunnel Road, Near Sophia School, Old Airport Road, Murugeshpalya, 560017",+91 94816 30199,3.0
Shiva Kitchen,Chinese        ,,"3 Shop No, Near Leela Palace, 560071",+91 98457 17240,3.0
81 Casual Dine,Chinese Indian Bar Asian Pub    ,Lounge Bar,"81, Ground Floor, Sir M Vishweahwaraiah Road BTM, 560076",+91 87924 88366,
I Love Soda,        ,,"11/1, Robertson Road, Near Corporation College, Frazer Town, 560005",+91 99024 71200,4.0
Sarkaar,        ,,"352, 2nd Floor, 8th Main, Opposite Airtel Showroom, Basaveshwara Nagar, 560026",+91 99004 84944,4.0
Ambur Biryani,Chinese        ,,"56 Yellappa Layout 7th Main, 560076",+91 96205 34455,3.0
Mirchi,        ,,"1st Floor 325/5 5th Stage 60 Feet Main Road, 560098",+91 99457 25049,4.0
Chinese Connection,Chinese        ,,"Mokshh, 65/1A, Opposite Bata Showroom, Kaikundrahalli, Sarjapur Road",+91 72594 54005,3.0
Bangalore Belly,Chinese        ,,"70/7, Near Hdfc Atm, J C Road",+91 80 6569 0360,3.0
Desi Dhaba,Chinese        ,,"1655/A, 27th Main, Sector 1, Near Nift College, Hsr Layout, 560102",+91 99002 96707,3.0
Yes Yes Hotel Restaurant,        ,,"Garden City College Road, T.C Palya, Opposite Rainbow Hospital, KR Puram",+91 99008 02541,4.0
Ole Desserts,        ,,"41, 2nd Cross, Govind Rao Street, Kumara Park, Seshadripuram, 560020",+91 98441 24396,4.0
Bhaginy Residency Restaurant,        ,,"646/2 Bhaginy Residency Restaurant Old Madras Road, 560049",+91 97428 87999,3.5
A-1 Chicken Biriyani Point,        ,,"17 1'st D Main Road, Shivanagar, 560010",+91 99028 25328,4.0
Frontier Mall,        ,,"No. 1, 1st Main Road, 3rd Block, RMV 2nd Stage, Devasandra, New BEL Road, Next To Devasandra Bus Stop, 560054",+91 80 4210 7788,4.0
Andhra Mess,        ,,"254, 2nd Main, Domlur Layout, Next To Apollo Clinic, Domlur, 560076",+91 97429 64787,4.0
A.F Bakery,        ,,"290, Hosur Main Road, Near Adugodi Police Station, Adugodi",+91 81233 46608,4.0
New Karavali Restaurant,        ,,"40 Triveni Road, 560022",+91 80 2290 1639,4.0
Shree Sagar,        ,,"69, Chbs Layout, Vijayanagar, 560040",+91 94814 74778,4.0
Sri Shanthi Sagar,        ,,"Hennur Main Road, Near Fly Over, Lingarajapuram, 560084",25491970,4.0
Saravanan Bhawan,        ,,"76/A, 3rd Cross, Hal 3rd Stage, Near Univercell Mobile Store, New Thippasandra",+91 98869 81661,4.0
New Royal Durbar,        ,,"No. 169, 1st Main, 1st Phase, 4th Phase, Yelahanka, Opposite Rail Wheel Factory, 560064",+91 96205 47791,4.0
Maha Maya's,        ,,"80ft Road, 7M-310, 1st Block, HRBR Layout, Kalyan Nagar, 560032",+91 903647703,2.5
Dosa Bites,Indian        ,,"6/4 Om Shakthi Nilaya Itpl Road, 560037",+91 99007 26700,4.0
Courtyard,Chinese        ,,"Wonder La Amusement Park, 28th Km, Jadenahalli, Hejjala Post, Bangalore Mysore Highway, 560061",+91 80 2201 0333,4.0
Hotel Ashoka Restaurant,        ,,"382 Jumma Masjid Road, 560051",+91 80 2555 4521,4.0
Komala Snack Link,Chinese Cafe       ,,"19 / 1 Buddha Vihar Road, Near Food World, 560005",+91 85538 73612,3.5
Bean There Done That,        ,,"No 73 Lobby Level Church Street, 560001",+91 80 4043 0000,5.0
Sri Laxmi Venkateshwara Iyengar Bakery,        ,,"66 5th Main, Vijayanagar, 560040",+91 80 2553 6258,3.5
Coastal Park,Indian        ,,"Royal Shades Hotel, Wind Tunnel Road, Opposite Top In Town Super Market, Murugeshpalya, 560017",+91 80 2522 9033,4.0
Inchara Family Restaurant,        ,,"Bellary Road, Opposite Jakkur Aerodrome, 560064",+91 99801 57187,3.0
Beijing Bites,Chinese Thai       ,,"479, First Floor, Jawaharlal Nehru Road, Opposite Food World, Rajarajeshwari Nagar, 560098",+91 80 2860 6888,3.5
Hangyo Ice Cream,        ,,"13, Next to Land Links, Opposite More Super Market, 1st Main, Jayamahal Extension, Frazer Town",,4.0
Juice Junction,        ,,"290 Outer Ring Road, Near Bangalore Central Mall, 560058",+91 91411 66774,3.5
Hotel Raju Restaurant,        ,,"18/11A, Rupena Agrahara, Hosur Main Road, Near Girias Showroom, Bommanahalli, 560068",+91 88842 97161,4.0
Krupa Bar & Restaurant,        ,,"89 Airport Road, Near Rajeshwari Theatre, AM Plaza, Vimanapura, 560017",25220808,4.0
Thali Family Restaurant,Chinese        ,,"Huskur Gate, Hosur Road, Near Huskur Gate Bus Stop, Electronics City, 560100",+91 96633 92138,4.0
3 Ediots,Diner        ,,"1 Off Hennur Road, Near Kristu Jayanthi College, 560077",,4.0
Mama's Eat More,        ,,"68/1, Appareddy Palya, Double Road, Opposite International Passport Office, Indiranagar, 560038",+91 80 2520 0630,4.0
Faaso's,Chinese Cafe Fast Food      ,,"394, Mico Employees Layout, Griha Nirmana Sangaha Layout, 2nd Stage, Next To Disney Bakery, Btm Layout, 2nd Stage, Btm, 560076",+91 88844 91149,3.5
Wangs,Asian        ,,"2317, 27th Main, Sector 1, Opposite Nift College",,2.0
Poorna Pragna Upahar Gruha,        ,,"54/2, 1st Main, 1st Cross, N.R. Colony, Middle Thyagaraj Nagar, Next to Sbi Bank, Basavanagudi",+91 98459 08254,4.0
Yum Kitchen,Chinese Indian       ,,"210 2d Main, Koramangala 8th Block, 560095",+91 74060 90660,2.0
The Fast Food,        ,,"3 8'th Main Road, Opposite Uti Bank, 560055",+91 80 2334 6483,4.0
Bawarchi,        ,,"73/1 M M Road, Opposite To Mosque, 560005",25491767,3.0
Santrupti Uttar Karanataka Food Store,        ,,"214, 1st Main Road, 7th Block, Near Sai Baba Temple, Koramangala",+91 99863 88278,3.5
Kitchen Of Chettinad,Italian        ,,"6th Floor, Nehru Road, Kammanahalli Circle, Above State Bank Of Hyderabad, Kammanahalli",+91 80 6012 4000,4.0
Pat's Fast Food,        ,,"Ground Floor State Highway 35 Kadugodi Main Road, 560067",+91 94839 53303,4.0
Andra Spice,        ,,"31/9, 1st Main, Mount Joy Extension, Hanumanthanagar, Girinagar Area, Banashankari, 560050",+91 99003 13542,4.0
Kanthi Sweets,        ,,"289/1 2nd Block, Rammurthy Nagar, 560016",+91 80 4229 3148,4.0
Sri Manjunatha Hot Chips,        ,,"84/47, Mountjoy Road, Hanumnath Nagar, Near Bull Temple, Basavanagudi, 560019",+91 81239 92292,4.5
Float Food and Beverages,Italian Chinese Indian European Asian    ,Float Brewery located in Bangalore to Bangalore international Airport highway. The best craft beers and cocktails are our specialty. The European and Asian food dishes are quite different and very nice comparatively to any other brew pubs in Bangalore.,"7M-424, HRBR Layout, 80 Feet Road, 1st Block, 560043",+91 80 4375 8282,3.5
Subway,Fast Food        ,,"Dr. Rajkumar Road, Orion Mall, 26/1, Bridage Gateway, Food Counter #A5, SaucePan FC, 560055",+91 80 2268 2117,3.0
Cool Point,        ,,"50/1 5th Block, Opposite Jyothi Nivas Collage, 560095",+91 98447 67260,4.0
Sree Raghavendra Sweets,        ,,"137, 3rd Main, Near Mayuri Deluxe, Mathikere, 560054",+91 80 2360 1476,4.0
Pavan Sagar,Chinese        ,,"Pavan Sagar Varthur Main Road, Opposite Ayyappa Swamy Temple, Near Chemmannur Jewellers, Marathahalli, 560037",+91 99800 40404,3.5
Vasudev Adiga's Mookambike,        ,,"25 60 80'th Feet Road, 560098",+91 80 2860 5959,3.5
Faaso's,Fast Food        ,,"A 94, 6/2, 24th Main, 2nd Phase, Opposite State Bank of India, Jp Nagar",+91 88844 70701,4.0
Ambur Biryani,        ,,"No 8 100 Feet Road, Near Croma, 560034",+91 98456 13541,3.5
Biryani Point,        ,,"16, M.M Road, Cox Town, Near Frazer Town Police Station, 560005",+91 80 2891 5213,4.0
Shilpa Bakery,        ,,"Mico Layout 16th Cross 7th Main, Near Food Court, Banashankari Stage II, Btm Layout 2nd Stage, 560076",+91 90363 66019,3.0
Beijing Bites,Chinese        ,,"Bannerghatta Road, Opp Purva Heights, Billekahalli, 560076",+91 93430 00000,3.5
Green Park Family Restaurant,        ,,"Diddaballapur Cross, Devanahalli, 562110",+91 96862 78251,4.0
New Punjabi Restaurant,        ,,"39/1, K.H.B Main Road, Vinayaka Layout, Near Pushpanjali Theatre, Rt Nagar, 560032",+91 81050 75728,4.0
Time Pass Bakery,        ,,"No 220, 13th Cross, 2nd Stage, Indira Nagar, 560038",+91 72599 97746,4.0
Sri Ramdev Sagar,        ,,"Koramangala, 560024",,4.0
Goli Vada Pav No. 1,Fast Food        ,,"7, 5th Main Road, Hrbr Layout 2nd Block, Near Artville Contemporary, Kalyan Nagar, 560084",+91 96200 08555,3.0
Kabab Hut,Chinese        ,,"38, Dr Rajkumar Road, 6th Block, Rajaji Nagar, 560010",+91 99802 18278,4.0
Bhagyalakshmi,        ,,"47/1 Sampige Road, Rathan Mahal Building",,4.0
Black Jack,        ,,"4th Floor 118 B E L Road, Above Reebok Showroom, Next to Kfc, 560054",+91 80 4112 9418,2.0
Cake Palace,        ,,"262 Cake Palace 10'th Cross Street 1st N Block, 560010",+91 80 2290 2861,4.0
Shivas Only Veg,        ,,"15/1, First Main Road, Seshadripuram, 560020",+91 97314 10990,4.0
Benito's,Italian        ,,"65, Next to Pragathi Motors, Near Wipro Corporate Office, Sarjapur Road, Opposite RMZ Infinity, 560035",+91 80 2524 1525,4.0
Biryani @ Koramangala,        ,,"32/1C, 100 Feet Road, 5th 'A' Block, Near Sukhsagar, Koramangala",+91 90366 19179,4.0
1966 Vadapav,        ,,"191, 10th Cross, Opposite 10th Cross Bus Stop, Wilson Garden, 560027",+91 99015 33200,4.0
Sri Ganesha Fruit Juice Centre,        ,,"903, 80 Feet Road, 4th Block, Opposite Indian Oil Petrol Bunk, Koramangala",+91 80 2592 1717,3.0
Shakthi United Bar & Restaurant,        ,,"54 Robertson Road, Opposite Coles Park, 560005",+91 96118 34607,3.0
Cafe Creams N Browns,Cafe        ,,"9 G Street, 560038",+91 88841 77741,
MumYum Kulcha's,Indian        ,"This is point you will get exclusive food items and varities of kulcha's with authentic taste. Nutri kulcha, amritsari kulcha and their special oven kulcha is just awesome.","3rd Cross, Neeladri Road, Electronic City Phase 1, Opposite icici bank neeladri Nagar, 560076",+91 78294 17505,
Deep Sagar,        ,,"9, Ground Floor, Nal Wind Tunner Road, Murugeshpalya, Old Airport Road, 560017",,3.0
Faaso's,Fast Food        ,,"2318, 27th Main, Sector 1, Near Nift College, Hsr Layout, 560034",+91 88844 70704,2.0
Lahari Family & Garden Dhaba,        ,,"Hurulichikkanahaali, Hesaraghhatta Main Road, Chikkabannavara Yelahanka Highway, 560090",+91 80503 53719,2.5
Taj,        ,,"Bowring Hospital Road, Shivajinagar, Hotel AJ International, 560001",+91 80 4197 1111,2.0
The Tribal Restro Cafe,Chinese Indian African Cafe Diner    ,Dine-in · Kerbside pickup · No-contact delivery,"1232, 3 floor, Brigade Millenium Road, 24th Main Rd, near brigade palms apartments, Silver Oak Layout, JP Nagar 7th Phase, Bengaluru, Karnataka, 560078",+91 80958 84429,
Sunny Spice Fast Food,Chinese Thai       ,,"18, 14th Cross, Dasara Halli Main Road, Bhuwaneshwari Nagar, Near Kenneth George English School, Hebbal",+91 97425 15190,1.0
Mast Kalandar,        ,,"985, 80 Feet Road, 4th Block, Opposite Tanishq Jewellers, Koramangala, Above Liberty Showroom",+91 80 4164 1751,2.5
Anna Bakery,        ,,"35 Ft Road, Koramangala, Inner Ring Road, 560047",+91 99002 19100,2.5
Mughal Durbar,        ,,"13/A, 9th Main, 2nd Stage, Banashankari, 560070",+91 80 2671 9999,3.0
Chinese Street,Chinese        ,,"4 Outer Ring Road, 560103",+91 98800 30303,2.5
Sree Ganesha Fruit Juice Centre,        ,,"11, Wind Tunnel Road, Near Sophia School, Off Old Airport Road, Murugeshpalya, 560017",+91 98452 97734,3.0
Pattaka Vada Pav,        ,,"1032, 26th Main, 4th T Block, Bunny Bakery Circle, Next to State Bank of Mysore, Jayanagar",+91 99026 23281,3.0
Goli Vada Pav No. 1,        ,,"Goli Vada Pav No. 1 Basavanagudi, Bangalore, India addre92/1, Opposite Airtel Branch, Gandhi Bazar Main Road, Basavanagudi, 560019",,3.0
Zaica Dine & Wine,        ,,"Adiyanan Building, 141, 1st Floor, Thanisandra Main Road, Near Safal Fresh Store, Nagawara",+91 80 2544 4449,2.5
Sri Ganesh Darshan,        ,,"32, Geddahalli, Sanjay Nagar Main Road",+91 99809 04409,3.0
Arogyaz,        ,,"8, Ground Floor, HCG Tower 4, P Kalinga Rao Road, Sampangi Rama Nagara, Richmond Road, 560027",+91 80 4286 2264,3.0
Sri Rama,        ,,"18, Bowring Hospital Road, Shivajinagar, 560064",,3.0
Kaati Zone,Fast Food        ,,"12, 4th Cross, 2nd Block, Near Cubo Fitness, Kalyan Nagar, 560040",+91 80566 60000,2.0
Northern Wave,        ,,"Aecs Layout 601 C Block 1st Floor 1st Main, Opposite General Hospital, 560037",+91 80 2854 1122,
Chugg,        ,,"554 55/1 Prestige Rr Church Street, 560001",,2.0
Gandharva,        ,,"38/4 South End Road, 560004",26631181,2.5
Kusum Rolls,        ,,"12, 2nd Cross, MSRIT Road, New BEL Road, Near New Mars Petrol Bunk",+91 97428 77401,3.0
Bangaliana,        ,,"No. 8, Liese Arcade, 1st Flor, Arekere Gate, Bannerghatta Road, Opposite Rose Garden Apartment",+91 98453 66458,3.0
Karnataka Bhel House,        ,,"5, 9th Cross, 9th Main, 2nd Block, Opposite Community Institute Management Service, Jayanagar, 560011",+91 98441 11020,3.0
New Kabab Zone,        ,,"7, Rajathadri Layout, Kothnur Main Road, 8th Phase, Near B.K Circle, JP Nagar, 560078",+91 99070 65111,3.0
Street Foods By Punjab Grill,        ,,"1 Sampige Road, Unit No Fc-14 &15, Third Floor, Mantri Square Mall, 560003",+91 74283 83823,
Alfa Family Restaurant,        ,,"44/3, 10th Cross, 1st Main, Arekempanahalli, Someshwari Nagar, Near Brand Factory, Jayanagar, 560011",+91 80 2657 8240,3.0
Ambur Biryani,        ,,"470, Adugodi Road, 8th Block, Near Hdfc Bank Atm, Koramangala",+91 98458 90454,3.0
Golmaal Paratha,        ,,"474, Khb Colony, 5th Block, Near Jyothi Nivas College, Koramangala, 560034",+91 80 4208 5757,3.0
Manjunatha Ice Land,        ,,"M 171, Nagappa Block, Near Deviah Park, Malleshwaram, 560003",+91 96320 50129,3.0
Fast Food & Samosa Center,Indian        ,,"Green Glen Layout, Near Happy Ending Supermarket, Bellandur, 560048",+91 72041 34287,2.0
Bengal Biriyani,        ,,"No. 243, 5th Main, Pipeline Road, MSP Nagar, AG's Colony, Mathikere, New BEL Road, 560054",+91 97423 55052,3.0
Kolkatha Speaicl Chat,        ,,"22, E.A.T, Opposite Bugle Rock Park, Basavanagudi, 560004",+91 98442 03386,3.0
Mubarak Hotel Restaurant,        ,,"Apj Abdul Kalam Road Govindpura Cross Nagawara Main Road 17 Ac Post, 560045",+91 99724 52264,3.0
Mast Kalandar,        ,,"10, Krishnanagar Industrial Layout, Near Christ College, Hosur Road, 560040",+91 80 4173 7878,3.0
The Paramount Restaurant,        ,,"58/4, Near Bharath Petroleum Bunk, Bannerghatta Road, 560030",+91 99001 71717,3.0
Cool Burger,        ,,"4, 1st Cross, Maruthi Nagar, Near King Regency, Madiwala",+91 97397 87116,3.0
Nisarga Restaurant,        ,,"20 3'rd Main Road, 580030",,3.0
Baskin-Robbins,        ,,"Rmz Infinity, The Bay Food Court, Benniganahalli, Opposite Gopalan Signature Mall, Old Madras Road",+91 90358 77656,3.0
Just Bake,        ,,"10 Arekere Gate Bannerghatta Road Opposite Agn Kalayana Mantapa, 560076",+91 95380 58743,3.0
Shiv Shakthi,        ,,"17, 24th Main, Parangipalya, Sector 2, Opposite Hdfc Bank Atm, Hsr Layout, 560034",+91 90084 27624,3.0
Sri Annapoorna Sweets,        ,,"747 Jai Complex Triveni Road Yeshwanthpur Circle, 560022",+91 94491 52160,3.0
Sri Raghavendra Upahara,        ,,"3, Doddakannalli, Near Government Hospital, Sarjapur Road",+91 93437 39856,3.0
New Ambur Dum Biryani,        ,,"78/1, Outer Ring Road, Near the Apollo Clinic, Bellandur",+91 99946 83098,3.0
Singh Sweets & Restaurant,        ,,"94 S C Road, Yeshwanthpur, 560022",+91 97390 93847,3.0
City Top Bakery,        ,,"141, 7th Cross. Ashwath Nagar, Near Havells Galaxy, Marathahalli",+91 96322 32575,3.0
Bourbon Bliss Sports Bar,        ,,"82/4, Next to Wipro Corporate Office, Dodakanahalli, Sarjapur Road, The Berry's",+91 80500 03030,3.0
Sri Krishna Iyengar's Bakery & Sweets,        ,,"Bowee Street, Near Bazer Street, Opposite Krishna Tample, 560008",+91 88926 41215,3.0
Ambur Biryani Point,        ,,"49/33, 8th B Cross, Near I Gate, Jakkasandra, Koramangala, 560034",+91 88808 77767,3.0
Food Court,        ,,"2nd Floor, 560093",+91 97461 52417,
South Calcutta Sweets & Chat,        ,,"239 Seppings Road, Near Lakshmi Silk House, 560001",+91 80 4162 2069,3.0
Sri Mookambika Condiments,        ,,"28, 7th Cross, N.R Colony, Gandhi Bazaar, Opposite Apollo Pharmacy, Basavanagudi, 560019",+91 99003 04455,3.0
Sameepa Iyengar's Bakery,        ,,"28, 9th Cross, N.R. Colony, Behind Rama Mandir, Basavanagudi, 560019",+91 99451 43264,3.0
Calcutta Chats & Paratha Centre,        ,,"5, Kauvery Layout, Opposite Forum Mall, Btm",+91 90369 48361,3.0
Hotel New Guide,        ,,"No. 5, Kalasipalyam Main Road, City Market, 560002",+91 97310 19159,3.0
Sri Rama Fast Food,        ,,"117/1, 2nd Stage, Peenya, 560058",+91 80 2836 1660,3.0
Shawn Bake House,        ,,"Ams Building, 2nd Cross, Chimma Reddy Layout, Near Bagini Restaurant, Murugeshpalya, 560017",+91 80664 96733,3.0
Rolls Corner,        ,,"75/2, Shivakumar Layout, Kattigenahalli, Yelahanka",+91 97520 97322,3.0
L.J. Iyengar Bakery,        ,,"8/11 Industrial Town, Rajajinagar, 560079",+91 80 2320 1778,3.0
Nandini Corner Cafe,        ,,"81 1st Cross, 560001",+91 99002 65023,3.0
Slv Swagath,        ,,"Tilak Nagar Main Road, Near Swagath Garuda Mall, Jayanagar, Near Swagath Garuda Mall, 560041",+91 94482 00410,3.0
Pipe 11,        ,,"2 9 Dr Raj Kumar Road, Near Suguna Hospital, 560010",+91 73533 00093,3.0
Marmaris,        ,,"528/3 Konappana Agrahara Near Infosys Gate, 560100",+91 89041 59077,3.0
Paris Panini - Gourmet Sandwiches & Wraps,French Cafe Fast Food European Street Food    ,"Paris Panini brings you the best of french-style sandwiches in India. Born in France, Nicolas moved to India after years of experience with French cuisine. Missing his sandwiches back home he decided to experiment, and soon after started a food truck (under the name Le Casse Croute) aiming to bring gourmet french street food to Bangalore. His vision was pretty simple, serve homemade, high-quality street food using premium ingredients from across India and Europe following traditional French recipes. After rebranding to Paris Panini in 2019, Nicolas, AB and Nikhil kept the same values and worked on a more elaborate menu to give you the most authentic experience as if you were seating in a Parisian cafe.","35, 4th B Cross Rd, 5th Block,, 560095",+91 77604 52288,
S.L.V Upahara,        ,,"1422, 11Th Main Road, 4th 'T' Block, Near Shalini Ground, Jayanagar",+91 99727 63687,3.0
Goli Vada Pav No. 1,Fast Food        ,,"36/41/48, 24th Main, Agra, Sector 1, Near Thirumala Chithramandira, Hsr Layout, 560034",+91 80 4218 8960,2.0
Kabab Korner,        ,,"32 B D A Complex, 560034",25520961,3.0
Liquid Pearl Lounge Bar,Chinese        ,,"Plot 145, Sector 5, Hsr Layout, 560102",+91 99000 13407,2.5
Arcade Biryani,        ,,"09, Bandana Agrahara, Hosa Road Junction, Hosur Main Road, Near State Bank Of India Atm, Electronics City, Near Axis Bank, Electronic City",+91 77606 02383,3.0
EggZotic,Chinese Indian       ,,"#43 Service Road, Domlur, 560071",+91 99011 71177,1.0
Anand Bavan,        ,,"746 60th Cross, Basyam Circle, Rajajinagar, 560010",+91 99025 53066,4.0
Sweet Charit,        ,,"Bel Layout 3rd Block, Vidyaranyapura, Opp Adigas, 560097",+91 96202 82269,3.0
Baskin-Robbins,        ,,"Forum Value Mall, 7, Whitefield Main Road, Varthur, Whitefield, 560066",+91 90351 49536,3.0
Mahalakshmi Sweets and Juice,Asian        ,,"472 Chikkamaranahalli, New Bel Road, 560094",+91 97401 88676,2.0
Taco Bell,Mexican        ,,"Gopalan Innovation Mall Ground Floor Bannerghatta Road, 560029",+91 80 4965 3153,2.5
S R Bakery & Condiments,        ,,"727 Ramamurthy Nagar Main Road, Banaswadi, 560043",+91 99863 96721,3.0
Pizza Treat,        ,,"10, Ground Floor, Thambuchetty Palya Main Road, Near Reliance Fresh, KR Puram, 560058",+91 80 3256 7770,3.0
Sweet Chariot,        ,,"805 9'th A Main Street, Near Hdfc Bank, Indiranagar, 560038",+91 80 2591 8869,3.0
Wang's Kitchen,Chinese        ,,"2317 27th Main Rd, 560102",+91 80 3925 3925,2.5
Mac Fast Food Sterling,Chinese American       ,,"Ground Floor 2 Old Airport Road &, 560017",+91 80 2527 3292,1.0
Delicacy,Chinese Thai       ,,"313 4th Cross Road, 560043",+91 80 4151 9995,2.5
Just Bake,        ,,"2, 1st Main Road, Industrial Area, Near Shiva Prabha Kalyana Mantapa, Rajajinagar",+91 99451 84979,2.5
Cafe Ni-O-Ven,Indian Fast Food Greek Grill Healthy    ,CAFE NI OVEN is a unit of NINE O SEVEN VENTURES One of the exclusive cafes in BTM serving yummy food and beverages! We have roof-top dining and an ample amount of parking space added with a dedicated co-working space to bring out the workaholic in you.,"No. 19 100 Feet Ring Road, Ground and First Floor, 1st Phase, 2nd Stage, BTM Layout, 560098",+91 72592 22221,
Sri Vishnu Sagar,        ,,"168, 7th Main Road, 1st Block, Opposite Muthoot Finance Corporation, Koramangala, 560034",+91 98801 22603,3.0
Spice Key Restaurant,Italian Chinese Indian British     ,Silicon Inn Multi Cuisine Restaurant located near Bangalore International Airport. The Restaurant serves authentic dishes where one can have unparalleled experience. The classic interior and ambiance of the restaurant welcomes all kinds of people.,"12 Kempegowda Int'l Airport Rd, Silicon Inn Hotel, Sharavathi Castle, Brundavan Layout, 562157",+91 70267 70261,
Emerald Juice Centre,        ,,"62, 2nd Cross, Commercial Street",,4.0
Cane Recipes,        ,,"Gopalan Innovation Mall, 4th Floor, 3rd Phase, Near MICO Layout Bus Stop, Bannerghatta Road",+91 87223 50811,3.0
Alwin Icecream,        ,,"1, 30th Main, 80 Feet Road, 3rd Stage, Near Tapaswi Bhavan, Banashankari",+91 97422 22215,4.0
Daily Bread,        ,,"311/7, 39th Cross, 9th Main Road, 5th Block, Opposite Indian Overseas Bank, Jayanagar, 560041",+91 80 6452 4223,4.0
Domino's Pizza,Pizza        ,,"555, 11Th Main Road, 4th Block, Next To Post Office, Jayanagar",+91 80 4121 1500,2.5
The Cake House,        ,,"17/3 The Cake House Ground Floor, 560008",+91 80 2530 9715,4.0
New Taj BC,        ,,"20, Dharmaraj Koil Street, Shivajinagar",,4.0
HKGN,        ,,"Rangashri Complex 3851 Kumaraswamy Layout Opposite Bmtc Bus Stand, 560078",+91 81475 34996,3.0
L J Iyengar Bakery,        ,,"530 Hsr Layout 24'th Main Road, 560034",+91 99002 97795,3.0
Papa John,Pizza        ,,"Ground Floor 421 80'th Feet Road, Koramangala, 560095",+91 88922 20707,1.5
Slv Iyengar's Bakery,        ,,"10, Kathrikuppe Main Road, 3rd Stage, Near Aird Education Centre, Banashankari, 560085",+91 80 4173 7912,4.0
Honey Sweets,        ,,"Bmtc Bus Stand Complex, Double Road, In Shanthi Nagar Bus Stand, Shanthi Nagar",+91 96863 12650,3.5
Hotel Megha Darshini Restaurant,        ,,"1294/A, 7th Main Road, Tank Bund Road, 2nd Stage, Rajajinagar, 560010",+91 81053 24712,4.0
Pizza Hut,Pizza        ,,"V3, 3rd Cross Rd, Electronics City, 560100",+91 80 4248 2222,2.5
Ramdev Bhojanalaya,        ,,"Muniraju Building, 507, Hosur Main Road, Opposite to Axis Bank Atm, Electronics City",+91 74112 47981,4.0
Juice Gallery,        ,,"160, 1st A Main Road, 7th Block, Near Chemist and Druggist, Koramangala, 560095",+91 98455 24336,4.0
Jai Bhavani Dhaba,        ,,"385, Near Manyata Tech Park, Nagawara",+91 95910 29951,4.0
Parata Junction,        ,,"414 Arekere Mico Layout 1'st Main Road Bannerghatta Road, Opposite Vijaya Bank, 560003",+91 80 4152 3399,4.0
Saravana Bhavan,        ,,"602, 8th Block, Opposite Karur Vysya Bank Atm, Koramangala",+91 99164 30089,3.0
Sri Raghavendra Bakery,        ,,"11, 5th Main Road, Ganganagar, 560032",+91 80 2597 2390,4.0
National Fried Chicken,Chinese        ,,"#1/3 Dinnur Main Road, R T Nagar, 560032",+91 87478 97666,4.0
Sangeet,        ,,"Veena Mansion, 186/10, 1st & 2nd Floor, Sirur Park Road, Opposite Nataraj Theater, Seshadripuram, 560020",+91 80 2346 1437,4.0
Ammi's Biryani,        ,,"5/A, Bannerghatta Road, 2nd Stage, Opposite Gopalan Innovation Mall, Btm Layout, 560076",+91 80 3945 7777,2.5
Anda Ka Funda,        ,,"#120/41 2'nd Cross Road, Thavarekere Main Road, 560029",+91 96866 26302,3.5
Shoba Sweet Stall,        ,,"136, 2nd Main, Near Ayyappa Temple, Rajajinagar, 560010",+91 99456 35242,4.0
Sri Vinayaka Fruit Juices Center,        ,,"7/3, 9th Cross, 2nd Phase, Near I G Circle, Jp Nagar, 560078",+91 99864 24260,4.0
Pingara Grand Family Restaurant,Chinese Indian Cafe      ,,"No 27 & 28 Bellary Road, 560092",+91 97413 03456,3.0
Qwikys Coffee,        ,,"65 Jyothi Niwas College Road, Opposite Koramangala Bus Depo, 560095",+91 80 4172 1559,4.0
Cafe Grill,Chinese        ,,"11, Hal 3rd Stage, Jeevan Bhima Nagar",+91 80 4096 0522,3.0
Khaja Hotel Restaurant,        ,,"103, Mangammana Palya, Near Icici Bank Atm, Bommanahalli, 560068",+91 95357 52491,4.0
